lake,date,tif,temp,mode,value,decision,valid_frac,n_valid
Atitlan,2025-01-13,cianobacteria_amatitlan-2025-01-13.tif,22.77,ndci,-0.08388141542673111,absent,1.0,9
Atitlan,2025-01-18,cianobacteria_amatitlan-2025-01-18.tif,22.77,ndci,0.4117647409439087,present,1.0,9
Atitlan,2025-01-28,cianobacteria_amatitlan-2025-01-28.tif,22.77,ndci,0.3930775225162506,present,1.0,9
Atitlan,2025-02-02,cianobacteria_amatitlan-2025-02-02.tif,23.89,ndci,0.024727556854486465,absent,1.0,9
Atitlan,2025-02-07,cianobacteria_amatitlan-2025-02-07.tif,23.89,ndci,-0.08014309406280518,absent,1.0,9
Atitlan,2025-03-04,cianobacteria_amatitlan-2025-03-04.tif,25.0,ndci,0.013528942130506039,absent,1.0,9
Atitlan,2025-03-09,cianobacteria_amatitlan-2025-03-09.tif,25.0,ndci,-0.03096485510468483,absent,1.0,9
Atitlan,2025-03-14,cianobacteria_amatitlan-2025-03-14.tif,25.0,ndci,-0.015357323922216892,absent,1.0,9
Atitlan,2025-04-03,cianobacteria_amatitlan-2025-04-03.tif,25.0,ndci,0.04750103875994682,absent,1.0,9
Atitlan,2025-04-13,cianobacteria_amatitlan-2025-04-13.tif,25.0,ndci,-0.016373194754123688,absent,1.0,9
Atitlan,2025-04-15,cianobacteria_amatitlan-2025-04-15.tif,25.0,ndci,-0.04857723414897919,absent,1.0,9
Atitlan,2025-05-13,cianobacteria_amatitlan-2025-05-13.tif,24.44,ndci,0.012031752616167068,absent,1.0,9
Atitlan,2025-07-12,cianobacteria_amatitlan-2025-07-12.tif,25.0,ndci,-0.020906642079353333,absent,1.0,9
Atitlan,2025-07-24,cianobacteria_amatitlan-2025-07-24.tif,25.0,ndci,-0.02766331285238266,absent,1.0,9
Atitlan,2025-08-13,cianobacteria_amatitlan-2025-08-13.tif,23.33,ndci,0.03005058877170086,absent,1.0,9
